,Name,gini
594,PEPEPUMPETTE,0.462
595,MIDIPEPE,0.79
596,KEKUIT,0.716
597,PEPEISUNITY,0.791
598,THEPEPEZONE,0.683
599,GUESSWHATPEP,0.839
600,PEPESHKRELI,0.79
601,PEPEXILE,0.81
602,VAPORMAGIC,0.818
603,PEPEHODLER,0.558
604,PEPEDON,0.828
605,PEPEFRENCH,0.768
606,THREERARE,0.765
607,DEEPWEBPEPE,0.873
608,FEELSGOODMAN,0.451
609,MELANCOLIE,0.776
610,ROOMRAREPEPE,0.62
611,KABUKIPEPE,0.692
612,BUBREAKUP,0.764
613,PEPENCEPTION,0.64
614,PEPETIA,0.109
615,PUMPINGPEPE,0.574
616,PEPELSD,0.521
617,COVPEPERARE,0.616
618,CULTOFKEK,0.451
619,PEPEFRED,0.802
620,PUREGOLDPEPE,0.65
621,THESKYPEPE,0.767
622,LUCHAPEPE,0.637
623,PEPEFOBIA,0.743
624,PSYKEKDELIC,0.736
625,EAZYP,0.603
626,PEPELARGE,0.612
627,BOWLPEPE,0.367
628,KEKENESIS,0.691
629,NECROPEPE,0.71
630,FATPEPSLIM,0.847
631,KAMIKAZEPEPE,0.592
632,GAMEOFPEPE,0.719
633,PEPEXECUTIVE,0.809
634,PEPEJIRO,0.327
635,ICPEPE,0.795
636,BOWIEPEP,0.752
637,PEPEGIRL,0.741
638,KEROPEPE,0.792
639,LUKEJRPEPE,0.892
640,PEPEANDY,0.827
641,PEPEMAONE,0.817
642,PEPESURRECT,0.834
643,PEPETREK,0.806
644,PEPEGIGGITY,0.741
645,PEPEFALLOUT,0.24
646,MCGREGOR,0.647
647,BAGHOLDRPEPE,0.608
648,MAYWEATHPEPE,0.674
649,PEPETUUR,0.643
650,PEPOCKY,0.662
651,PEPERRIDA,0.654
652,PEPENAL,0.597
653,PEPEVINNY,0.655
654,PEPELVSD,0.39
655,PEPESUMO,0.646
656,WALLPEPE,0.55
657,PEPEKICKS,0.786
658,PEPEBOBBY,0.744
659,PEPEYOTES,0.613
660,PEPESOURCE,0.591
661,CINEKEK,0.769
662,EXKEKUTIONER,0.774
663,PEPEINTRO,0.818
664,PEPEPOET,0.659
665,CREWLOVEPEPE,0.658
666,DOGSALL,0.138
667,PEPELUFFY,0.823
668,PEPEHARING,0.692
669,PEPMONDRIAN,0.794
670,PEPEPALACE,0.773
671,MEMEFIGHTERS,0.864
672,MYSPEPE,0.859
673,ENGELPEPE,0.298
674,PEPENARUTO,0.857
675,PEPESAILOR,0.859
676,PEPENATTI,0.858
677,PEPEACIDTRIP,0.71
678,EPEPESODEONE,0.72
679,RABBIPEPE,0.0
680,GUARDSASKIAN,0.797
681,OPTIMUSPEPE,0.165
