,Price_Level,Date_Index
523,4.065,2021-02
524,19.37851088775,2021-03
525,19.37851088775,2021-04
526,19.37851088775,2021-05
527,19.37851088775,2021-06
528,47.425,2021-07
529,61.426666666666655,2021-08
530,94.85,2021-09
531,113.82,2021-10
532,113.82,2021-11
533,121.95,2021-12
534,169.375,2022-01
535,169.375,2022-02
536,121.95,2022-03
537,149.05,2022-04
538,149.05,2022-05
539,0.0,2016-01
540,0.0,2016-02
541,0.0,2016-03
542,0.0,2016-04
543,0.0,2016-05
544,0.0,2016-06
545,0.0,2016-07
546,0.0,2016-08
547,0.0,2016-09
548,0.0,2016-10
549,0.0,2016-11
550,0.0,2016-12
551,0.0,2017-01
552,0.0,2017-02
553,0.0,2017-03
554,0.0,2017-04
555,0.0,2017-05
556,0.0,2017-06
557,0.0,2017-07
558,0.0,2017-08
559,0.0,2017-09
560,0.0,2017-10
561,0.0,2017-11
562,0.0,2017-12
563,0.0,2018-01
564,0.0,2018-02
565,0.0,2018-03
566,0.0,2018-04
567,0.0,2018-05
568,0.0,2018-06
569,0.0,2018-07
570,0.0,2018-08
571,0.0,2018-09
572,0.0,2018-10
573,0.0,2018-11
574,0.0,2018-12
575,0.0,2019-01
576,0.0,2019-02
577,0.0,2019-03
578,0.0,2019-04
579,0.0,2019-05
580,0.0,2019-06
581,0.0,2019-07
582,0.0,2019-08
583,0.0,2019-09
584,0.0,2019-10
585,0.0,2019-11
586,0.0,2019-12
587,0.0,2020-01
588,0.0,2020-02
589,0.0,2020-03
590,0.0,2020-04
591,0.0,2020-05
592,0.0,2020-06
593,0.0,2020-07
594,0.0,2020-08
595,0.0,2020-09
596,0.0,2020-10
597,0.0,2020-11
598,0.0,2020-12
599,0.0,2021-01
600,0.0,2021-02
601,0.0,2021-03
602,0.0,2021-04
603,0.0,2021-05
604,0.0,2021-06
605,13.55,2021-07
606,13.55,2021-08
607,184.28,2021-09
608,184.28,2021-10
609,184.28,2021-11
610,184.28,2021-12
611,184.28,2022-01
612,184.28,2022-02
613,184.28,2022-03
614,360.43,2022-04
615,360.43,2022-05
616,0.0,2016-01
617,0.0,2016-02
618,0.0,2016-03
619,0.0,2016-04
620,0.0,2016-05
621,0.0,2016-06
622,0.0,2016-07
623,0.0,2016-08
624,7.542833333333333,2016-09
625,7.4976666666666665,2016-10
626,7.4976666666666665,2016-11
627,35.23,2016-12
628,32.52,2017-01
629,81.30000000000001,2017-02
630,81.30000000000001,2017-03
631,108.4,2017-04
632,108.4,2017-05
633,108.4,2017-06
634,108.4,2017-07
635,108.4,2017-08
636,108.4,2017-09
637,108.4,2017-10
638,108.4,2017-11
639,108.4,2017-12
640,108.4,2018-01
641,108.4,2018-02
642,108.4,2018-03
643,108.4,2018-04
644,108.4,2018-05
645,108.4,2018-06
646,108.4,2018-07
647,108.4,2018-08
648,108.4,2018-09
649,108.4,2018-10
650,108.4,2018-11
651,108.4,2018-12
652,108.4,2019-01
653,108.4,2019-02
654,108.4,2019-03
655,108.4,2019-04
656,108.4,2019-05
657,108.4,2019-06
658,108.4,2019-07
659,108.4,2019-08
660,108.4,2019-09
661,108.4,2019-10
662,108.4,2019-11
663,108.4,2019-12
664,108.4,2020-01
665,108.4,2020-02
666,108.4,2020-03
667,108.4,2020-04
668,108.4,2020-05
669,108.4,2020-06
670,108.4,2020-07
671,108.4,2020-08
672,108.4,2020-09
673,108.4,2020-10
