Name,gini
NICOSARKOS,0.79
NIGHTKINGPEP,0.787
NIGHTSATPEPE,0.781
NINJAPEPES,0.616
NMPPEPE,0.797
NOBORDERPEPE,0.651
NOBRAKESPEPE,0.885
NOFAPPEPE,0.82
NOFUCKSPUTIN,0.0
NURSEPEPE,0.881
OBEYPEPE,0.731
OMEGAPEPE,0.113
ONEEYEMONKEY,0.859
ONEPUNCHPEPE,0.927
ONSENPEPE,0.802
OPPPEPE,0.479
OPTIMUSPEPE,0.162
OROCHIPEPE,0.606
ORTRAILPEPE,0.808
OSKARPEPE,0.817
OUIJAPEPE,0.613
OWLPEPE,0.637
PACPEP,0.868
PAKALOLO,0.897
PAPILLON,0.326
PARTYPEPE,0.835
PAWNTHELAMBO,0.479
PAXOLOTL,0.717
PEBBLEE,0.726
PECATRINA,0.718
PECTERIA,0.785
PEDURO,0.924
PEEKABOOPEPE,0.555
PEEPHOLEPEPE,0.772
PEFUNGUS,0.799
PEKMAN,0.384
PENIC,0.862
PENNYPEPE,0.525
PENPEN,0.437
PEPA,0.627
PEPAGEISHA,0.571
PEPALISA,0.085
PEPAPINUP,0.633
PEPCASSO,0.322
PEPEAA,0.924
PEPEACE,0.753
PEPEACIDTRIP,0.71
PEPEADDICTS,0.7
PEPEAFRIKA,0.714
PEPEAFRIKEK,0.809
PEPEAGYO,0.829
PEPEAIR,0.758
PEPEAKI,0.459
PEPEAKIBA,0.551
PEPEALIEN,0.548
PEPEAMANIA,0.769
PEPEAMAZING,0.871
PEPEAMCANI,0.842
PEPEAN,0.65
PEPEANDFEELS,0.376
PEPEANDROID,0.595
PEPEANDSON,0.815
PEPEART,0.737
PEPEARTISTE,0.805
PEPEASSANGE,0.454
PEPEASTRO,0.588
PEPEAUCTIOND,0.9
PEPEAVENGER,0.62
PEPEBALLOON,0.783
PEPEBALT,0.845
PEPEBANDICUT,0.695
PEPEBANG,0.507
PEPEBASQUIAT,0.671
PEPEBASS,0.731
PEPEBEARD,0.891
PEPEBEEFTAXI,0.446
PEPEBERLUSCA,0.741
PEPEBILL,0.555
PEPEBIRTH,0.353
PEPEBOSCH,0.769
PEPEBOY,0.868
PEPEBRAIN,0.743
PEPEBRANDO,0.847
PEPEBREAKUP,0.814
PEPEBREEDER,0.175
PEPEBRICCO,0.85
PEPEBRICK,0.252
PEPEBRICKJR,0.68
PEPEBROS,0.794
PEPEBURGUNDY,0.41
PEPEBUSHIDO,0.427
PEPEBUZZ,0.68
PEPECAFFE,0.665
PEPECAGE,0.708
PEPECAKEK,0.535
PEPECAMO,0.663
PEPECANCAN,0.651
PEPECAPCHA,0.883
PEPECARNIVAL,0.551
PEPECART,0.447
PEPECASTRO,0.474
PEPECCOLO,0.932
PEPECENT,0.495
PEPECEZANNE,0.769
PEPECHAININ,0.843
PEPECHAIRMAN,0.89
PEPECHE,0.704
PEPECIGARS,0.683
PEPECITY,0.731
PEPECLOCK,0.366
PEPECLOKWORK,0.613
PEPECLUB,0.616
PEPECOASTER,0.88
PEPECOLLECT,0.827
PEPECONCERT,0.728
PEPECONF,0.827
PEPECONTRACT,0.723
PEPECOUNTER,0.227
PEPECOURAGE,0.407
PEPECOWBELL,0.798
PEPECREAM,0.849
PEPECRYSTAL,0.609
PEPEDANCE,0.616
PEPEDARK,0.586
PEPEDARKSIDE,0.379
PEPEDARWIN,0.825
PEPEDATA,0.801
PEPEDAUGHTER,0.909
PEPEDAVID,0.735
PEPEDDIT,0.522
PEPEDETCTVE,0.799
PEPEDHARMA,0.766
PEPEDICK,0.897
PEPEDIEPIE,0.729
PEPEDINHO,0.564
PEPEDJ,0.778
PEPEDOL,0.77
PEPEDON,0.828
PEPEDRACULA,0.787
PEPEDRAGO,0.719
PEPEDRAKE,0.878
PEPEDRINO,0.553
PEPEDROID,0.632
PEPEDUCREUX,0.828
PEPEDWARD,0.532
PEPEDZILLA,0.817
PEPEELITE,0.722
PEPEENEUMAN,0.774
PEPEEVO,0.397
PEPEFALLOUT,0.243
PEPEFANTASY,0.893
PEPEFARMER,0.731
PEPEFATHER,0.693
PEPEFETT,0.585
PEPEFIFTYONE,0.712
PEPEFLATION,0.487
PEPEFLECTION,0.929
PEPEFLESH,0.715
PEPEFOREVER,0.725
PEPEFORM,0.024
PEPEFRACTAL,0.603
PEPEFRENCH,0.769
PEPEFREQ,0.855
PEPEFROMHELL,0.818
PEPEFUYU,0.512
PEPEGAIA,0.756
PEPEGAMBIT,0.795
PEPEGANDHI,0.532
PEPEGATES,0.858
PEPEGIANT,0.268
PEPEGIGA,0.562
PEPEGIRL,0.741
PEPEGLOBE,0.8
PEPEGLOVER,0.789
PEPEGOAT,0.352
PEPEGODDESS,0.745
PEPEGOLDBAR,0.915
PEPEGOLUM,0.552
PEPEGOTSWAG,0.724
PEPEGRAFFITI,0.43
PEPEGRAM,0.567
PEPEGRAVE,0.822
PEPEGREEN,0.523
PEPEGROUNDS,0.815
PEPEGROYA,0.717
PEPEGUITAR,0.919
PEPEGUN,0.558
PEPEHAMMER,0.915
PEPEHAND,0.479
PEPEHARDTALK,0.851
PEPEHARING,0.688
PEPEHARU,0.412
PEPEHAWKING,0.61
PEPEHEFNER,0.572
PEPEHELP,0.853
PEPEHEMAN,0.683
PEPEHITMAN,0.687
PEPEHODLER,0.544
PEPEHOFFMAN,0.332
PEPEHOLOGRAM,0.419
PEPEHOMER,0.87
PEPEHONDO,0.581
PEPEHOPE,0.505
PEPEHORROR,0.597
PEPEHOUSE,0.759
PEPEHUNDRED,0.909
PEPEHUNGRY,0.627
PEPEHUNTER,0.716
PEPEILLUSION,0.508
PEPEIMPOSER,0.623
PEPEIMPOSTOR,0.695
PEPEINSHADES,0.794
PEPEINSIDE,0.657
PEPEISLOVE,0.673
PEPEISPEACE,0.587
PEPEISUNITY,0.791
PEPEJ,0.906
PEPEJACKSON,0.526
PEPEJAPAN,0.308
PEPEJEANS,0.877
PEPEJERICHO,0.675
PEPEJIRAIYA,0.759
PEPEJIRO,0.327
PEPEJOANARC,0.773
PEPEJOBS,0.379
PEPEJOCKER,0.896
PEPEJOSE,0.522
PEPEJPN,0.616
