Name,Type,Date,Date_Index,Supply,Price in USD,Quantity,Gini,Top_3,Top_5,Top_10,Series
PEPEPEANUTS,get,2022-02-27 03:34:09,2022-02,100.0,207.0,1.0,0.501,0.4,0.55,0.71,5.0
CREMAPEPE,get,2022-02-27 03:15:12,2022-02,100.0,110.4,1.0,0.55,0.6,0.68,0.77,26.0
CREMAPEPE,get,2022-02-27 01:17:40,2022-02,100.0,110.4,1.0,0.558,0.61,0.69,0.78,26.0
PEPEPENPEN,get,2022-02-26 16:04:45,2022-02,100.0,466.44,1.0,0.508,0.54,0.58,0.67,25.0
CREMAPEPE,get,2022-02-26 14:43:39,2022-02,100.0,110.4,1.0,0.565,0.62,0.7,0.79,26.0
CREMAPEPE,give,2022-02-26 14:10:51,2022-02,100.0,110.4,1.0,0.568,0.63,0.71,0.79,26.0
MISSTURNPEPE,get,2022-02-26 04:21:54,2022-02,100.0,248.4,1.0,0.654,0.7,0.76,0.86,4.0
PEPELAMA,dispenser,2022-02-25 21:22:11,2022-02,100.0,616.0840000000001,1.0,0.545,0.72,0.81,0.94,20.0
WHOAPEPE,get,2022-02-25 19:03:58,2022-02,100.0,552.0,1.0,0.683,0.66,0.78,0.92,25.0
PEPEFUYU,get,2022-02-25 18:26:07,2022-02,100.0,1104.0,1.0,0.542,0.69,0.74,0.84,25.0
JIHANWU,get,2022-02-25 05:29:55,2022-02,99.0,966.0,1.0,0.567,0.6565656565656566,0.6868686868686869,0.7373737373737373,20.0
PEPEGIANT,dispenser,2022-02-24 17:43:09,2022-02,100.0,924.126,1.0,0.386,0.25,0.36,0.61,36.0
WEAREALLPEPE,get,2022-02-24 06:49:55,2022-02,100.0,1531.8,1.0,0.312,0.25,0.35,0.46,2.0
PEPCASSO,dispenser,2022-02-23 18:25:06,2022-02,100.0,19802.7,1.0,0.359,0.29,0.41,0.54,35.0
CARTOONPEPE,get,2022-02-23 03:48:58,2022-02,100.0,306.36,1.0,0.532,0.5,0.59,0.69,30.0
DANPEPERIAN,get,2022-02-23 03:13:17,2022-02,100.0,336.72,1.0,0.398,0.44,0.54,0.69,5.0
BLINGBLING,get,2022-02-22 05:48:51,2022-02,100.0,513.36,1.0,0.688,0.75,0.87,0.96,27.0
PEPEKEN,get,2022-02-22 05:23:14,2022-02,100.0,414.0,1.0,0.469,0.37,0.47,0.61,5.0
BTCPEPE,get,2022-02-22 00:47:47,2022-02,100.0,552.0,1.0,0.386,0.32,0.4,0.51,10.0
MISSTURNPEPE,get,2022-02-21 23:04:00,2022-02,100.0,345.0,1.0,0.66,0.71,0.77,0.87,4.0
PEPERMIND,get,2022-02-21 22:08:12,2022-02,100.0,690.0,1.0,0.409,0.38,0.47,0.62,3.0
REYPEPE,give,2022-02-21 19:04:20,2022-02,100.0,345.0,1.0,0.589,0.51,0.69,0.82,6.0
FRACTALPEPE,get,2022-02-21 16:16:49,2022-02,99.0,311.88,1.0,0.307,0.2828282828282828,0.3636363636363636,0.4646464646464646,6.0
SALTANDPEPE,get,2022-02-21 14:57:19,2022-02,100.0,303.6,1.0,0.642,0.69,0.75,0.8,3.0
JALAPEPE,get,2022-02-21 02:40:09,2022-02,100.0,414.0,1.0,0.378,0.32,0.4,0.52,3.0
PEPEPHONEHOM,get,2022-02-21 00:48:46,2022-02,100.0,690.0,1.0,0.38,0.32,0.42,0.56,3.0
WEAREALLPEPE,get,2022-02-20 19:52:36,2022-02,100.0,1531.8,1.0,0.314,0.26,0.36,0.46,2.0
PEPESCAVHUNT,give,2022-02-20 18:50:48,2022-02,100.0,234.6,1.0,0.531,0.42,0.55,0.68,12.0
BAPEPE,get,2022-02-19 18:15:48,2022-02,15.0,13799.999999999998,1.0,0.128,0.4,0.5333333333333333,0.8666666666666667,3.0
PEPESCAVHUNT,give,2022-02-17 23:47:46,2022-02,100.0,235.98,1.0,0.538,0.43,0.56,0.69,12.0
PEPESPINNER,get,2022-02-17 04:01:05,2022-02,100.0,276.0,1.0,0.516,0.4,0.55,0.76,24.0
PEPESPINNER,give,2022-02-16 22:30:13,2022-02,100.0,276.0,1.0,0.517,0.4,0.55,0.76,24.0
PEPESPINNER,get,2022-02-16 21:31:08,2022-02,100.0,276.0,1.0,0.521,0.4,0.55,0.77,24.0
PEPESPINNER,get,2022-02-16 19:41:22,2022-02,100.0,276.0,1.0,0.526,0.4,0.55,0.78,24.0
PEPESPINNER,get,2022-02-16 13:37:08,2022-02,100.0,276.0,1.0,0.527,0.4,0.56,0.79,24.0
CIRCLEOFPEPE,get,2022-02-15 13:12:41,2022-02,100.0,827.9999999999999,1.0,0.468,0.5,0.6,0.7,3.0
PEPELOCATION,get,2022-02-14 23:26:44,2022-02,100.0,306.636,2.0,0.66,0.72,0.78,0.91,31.0
PEPELOCATION,get,2022-02-14 14:54:12,2022-02,100.0,306.636,1.0,0.672,0.74,0.8,0.92,31.0
PEPELOCATION,get,2022-02-14 13:50:53,2022-02,100.0,306.636,1.0,0.678,0.75,0.81,0.93,31.0
PEPESPINNER,get,2022-02-11 18:41:42,2022-02,100.0,276.0,1.0,0.528,0.4,0.57,0.8,24.0
GADGETPEPE,give,2022-02-11 12:44:44,2022-02,100.0,345.0,1.0,0.471,0.42,0.53,0.68,4.0
HIPPIEPEPE,get,2022-02-11 03:30:25,2022-02,100.0,248.4,1.0,0.374,0.31,0.38,0.53,18.0
PEPEPHONEHOM,give,2022-02-10 21:09:39,2022-02,100.0,510.6,1.0,0.383,0.32,0.42,0.55,3.0
PEPEKEN,give,2022-02-09 12:15:09,2022-02,100.0,276.0,1.0,0.472,0.37,0.47,0.61,5.0
PEPEKEN,give,2022-02-09 12:15:09,2022-02,100.0,303.6,1.0,0.488,0.39,0.49,0.63,5.0
PEPEASSANGE,give,2022-02-09 11:54:07,2022-02,100.0,758.9999999999999,1.0,0.538,0.52,0.61,0.73,6.0
BADWISHES,get,2022-02-09 05:03:29,2022-02,100.0,182.16,1.0,0.578,0.65,0.69,0.75,33.0
LISKPPAPPEPE,give,2022-02-08 23:22:47,2022-02,100.0,138.0,1.0,0.443,0.47,0.51,0.6,6.0
LISKPPAPPEPE,give,2022-02-08 23:22:47,2022-02,100.0,151.79999999999998,2.0,0.451,0.48,0.52,0.61,6.0
CERSEIPEPE,give,2022-02-08 22:44:31,2022-02,100.0,165.6,1.0,0.63,0.7,0.76,0.83,32.0
CHIKUNPEPE,give,2022-02-08 18:43:36,2022-02,100.0,414.0,1.0,0.376,0.31,0.4,0.52,11.0
PEPESPINNER,give,2022-02-08 15:05:43,2022-02,100.0,69.0,1.0,0.527,0.4,0.57,0.81,24.0
PEPESPINNER,give,2022-02-08 05:52:49,2022-02,100.0,55.2276,4.0,0.527,0.4,0.58,0.82,24.0
PEPESPINNER,give,2022-02-08 00:26:51,2022-02,100.0,41.4276,5.0,0.515,0.4,0.57,0.79,24.0
PEPESPINNER,give,2022-02-07 15:18:37,2022-02,100.0,38.66759999999999,2.0,0.548,0.47,0.62,0.83,24.0
PEPESPINNER,give,2022-02-07 15:18:37,2022-02,100.0,38.64,3.0,0.543,0.45,0.62,0.83,24.0
PEPESPINNER,give,2022-02-07 15:18:37,2022-02,100.0,40.02,4.0,0.572,0.54,0.66,0.83,24.0
PEPESPINNER,give,2022-02-07 15:18:37,2022-02,100.0,40.02,1.0,0.541,0.44,0.61,0.82,24.0
PEPESPINNER,give,2022-02-07 15:18:37,2022-02,100.0,38.64,4.0,0.517,0.4,0.57,0.79,24.0
PEPESPINNER,give,2022-02-07 15:18:37,2022-02,100.0,38.66759999999999,1.0,0.596,0.58,0.7,0.86,24.0
PEPESPINNER,give,2022-02-07 15:18:37,2022-02,100.0,40.71,3.0,0.599,0.59,0.71,0.86,24.0
PEPESPINNER,give,2022-02-07 15:18:37,2022-02,100.0,38.66759999999999,5.0,0.556,0.49,0.64,0.83,24.0
WHOAPEPE,get,2022-02-07 02:25:31,2022-02,100.0,466.44,1.0,0.675,0.66,0.78,0.92,25.0
MONTYPEPE,get,2022-02-06 04:47:54,2022-02,100.0,524.4,1.0,0.514,0.56,0.61,0.7,8.0
PAWNTHELAMBO,get,2022-02-06 01:23:09,2022-02,100.0,240.12,1.0,0.538,0.57,0.63,0.75,27.0
STACYPEPE,dispenser,2022-02-05 20:40:21,2022-02,100.0,813.78051494,1.0,0.523,0.54,0.7,0.81,20.0
JOELOONEYBIN,get,2022-02-05 05:51:03,2022-02,100.0,2760.0,1.0,0.561,0.58,0.64,0.72,8.0
